,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre,corpus_type
0,data/musicCorp/Albouy2020Science/English/English_S10_M07.wav,English_S10_M07,English,1,1,192000,48,4,0.1957291666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M07_MS2024.mat,Albouy2020Science,female,classical,music
1,data/musicCorp/Albouy2020Science/English/English_S01_M08.wav,English_S01_M08,English,1,1,192000,48,4,0.0519583333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S01_M08_MS2024.mat,Albouy2020Science,female,classical,music
2,data/musicCorp/Albouy2020Science/French/French_S03_M07.wav,French_S03_M07,French,1,1,192000,48,4,0.3302916666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S03_M07_MS2024.mat,Albouy2020Science,female,classical,music
3,data/musicCorp/Albouy2020Science/French/French_S07_M08.wav,French_S07_M08,French,1,1,192000,48,4,0.40275,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S07_M08_MS2024.mat,Albouy2020Science,female,classical,music
4,data/musicCorp/Albouy2020Science/French/French_S02_M02.wav,French_S02_M02,French,1,1,192000,48,4,0.3979791666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S02_M02_MS2024.mat,Albouy2020Science,female,classical,music
5,data/musicCorp/Albouy2020Science/French/French_S07_M05.wav,French_S07_M05,French,1,1,192000,48,4,0.3780208333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S07_M05_MS2024.mat,Albouy2020Science,female,classical,music
6,data/musicCorp/Albouy2020Science/English/English_S01_M05.wav,English_S01_M05,English,1,1,192000,48,4,0.1525625,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S01_M05_MS2024.mat,Albouy2020Science,female,classical,music
7,data/musicCorp/Albouy2020Science/English/English_S09_M05.wav,English_S09_M05,English,1,1,192000,48,4,0.2340208333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S09_M05_MS2024.mat,Albouy2020Science,female,classical,music
8,data/musicCorp/Albouy2020Science/French/French_S10_M02.wav,French_S10_M02,French,1,1,192000,48,4,0.2795208333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S10_M02_MS2024.mat,Albouy2020Science,female,classical,music
9,data/musicCorp/Albouy2020Science/English/English_S08_M05.wav,English_S08_M05,English,1,1,192000,48,4,0.3699583333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S08_M05_MS2024.mat,Albouy2020Science,female,classical,music
10,data/musicCorp/Albouy2020Science/English/English_S02_M02.wav,English_S02_M02,English,1,1,192000,48,4,0.379125,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S02_M02_MS2024.mat,Albouy2020Science,female,classical,music
11,data/musicCorp/Albouy2020Science/English/English_S07_M08.wav,English_S07_M08,English,1,1,192000,48,4,0.1424166666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M08_MS2024.mat,Albouy2020Science,female,classical,music
12,data/musicCorp/Albouy2020Science/French/French_S06_M05.wav,French_S06_M05,French,1,1,192000,48,4,0.2729791666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S06_M05_MS2024.mat,Albouy2020Science,female,classical,music
13,data/musicCorp/Albouy2020Science/French/French_S10_M07.wav,French_S10_M07,French,1,1,192000,48,4,0.3408541666666667,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S10_M07_MS2024.mat,Albouy2020Science,female,classical,music
14,data/musicCorp/Albouy2020Science/French/French_S01_M08.wav,French_S01_M08,French,1,1,192000,48,4,0.307,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M08_MS2024.mat,Albouy2020Science,female,classical,music
15,data/musicCorp/Albouy2020Science/French/French_S03_M02.wav,French_S03_M02,French,1,1,192000,48,4,0.3274791666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S03_M02_MS2024.mat,Albouy2020Science,female,classical,music
16,data/musicCorp/Albouy2020Science/English/English_S08_M08.wav,English_S08_M08,English,1,1,192000,48,4,0.3109583333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S08_M08_MS2024.mat,Albouy2020Science,female,classical,music
17,data/musicCorp/Albouy2020Science/English/English_S05_M02.wav,English_S05_M02,English,1,1,192000,48,4,0.2984375,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S05_M02_MS2024.mat,Albouy2020Science,female,classical,music
18,data/musicCorp/Albouy2020Science/English/English_S10_M02.wav,English_S10_M02,English,1,1,192000,48,4,0.2107083333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M02_MS2024.mat,Albouy2020Science,female,classical,music
19,data/musicCorp/Albouy2020Science/French/French_S01_M05.wav,French_S01_M05,French,1,1,192000,48,4,0.4935208333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M05_MS2024.mat,Albouy2020Science,female,classical,music
20,data/musicCorp/Albouy2020Science/French/French_S06_M08.wav,French_S06_M08,French,1,1,192000,48,4,0.1919791666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S06_M08_MS2024.mat,Albouy2020Science,female,classical,music
21,data/musicCorp/Albouy2020Science/French/French_S02_M07.wav,French_S02_M07,French,1,1,192000,48,4,0.3844791666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S02_M07_MS2024.mat,Albouy2020Science,female,classical,music
22,data/musicCorp/Albouy2020Science/English/English_S07_M05.wav,English_S07_M05,English,1,1,192000,48,4,0.2197083333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M05_MS2024.mat,Albouy2020Science,female,classical,music
23,data/musicCorp/Albouy2020Science/English/English_S07_M02.wav,English_S07_M02,English,1,1,192000,48,4,0.144875,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M02_MS2024.mat,Albouy2020Science,female,classical,music
24,data/musicCorp/Albouy2020Science/French/French_S01_M02.wav,French_S01_M02,French,1,1,192000,48,4,0.42875,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M02_MS2024.mat,Albouy2020Science,female,classical,music
25,data/musicCorp/Albouy2020Science/English/English_S10_M05.wav,English_S10_M05,English,1,1,192000,48,4,0.2912291666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M05_MS2024.mat,Albouy2020Science,female,classical,music
26,data/musicCorp/Albouy2020Science/French/French_S04_M08.wav,French_S04_M08,French,1,1,192000,48,4,0.5664375,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S04_M08_MS2024.mat,Albouy2020Science,female,classical,music
27,data/musicCorp/Albouy2020Science/English/English_S06_M07.wav,English_S06_M07,English,1,1,192000,48,4,0.2736666666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S06_M07_MS2024.mat,Albouy2020Science,female,classical,music
