,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,genre,gender,speaker/artist,corpus_type
0,data/musicCorp/NHS2/NHS2-UDOB.mp3,NHS2-UDOB,Mezquital Otomi,1,1,352800,44.1,8,0.1415419501133787,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-UDOB_MS2024.mat,world,,NHS2-UDOB,music
1,data/musicCorp/NHS2/NHS2-CQH0.mp3,NHS2-CQH0,Central Guerrero Nahuatl,1,1,352800,44.1,8,0.1415419501133787,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-CQH0_MS2024.mat,world,,NHS2-CQH0,music
2,data/musicCorp/NHS2/NHS2-YXHK.mp3,NHS2-YXHK,Selkup,1,1,352800,44.1,8,0.1417006802721088,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-YXHK_MS2024.mat,world,,NHS2-YXHK,music
3,data/musicCorp/NHS2/NHS2-CN26.mp3,NHS2-CN26,Chicham,1,1,352800,44.1,8,0.1486621315192743,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-CN26_MS2024.mat,world,,NHS2-CN26,music
4,data/musicCorp/NHS2/NHS2-KR0Z.mp3,NHS2-KR0Z,Nsenga,1,1,352800,44.1,8,0.191156462585034,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-KR0Z_MS2024.mat,world,,NHS2-KR0Z,music
5,data/musicCorp/NHS2/NHS2-X9CV.mp3,NHS2-X9CV,Angami Naga,1,1,352800,44.1,8,0.2434240362811791,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-X9CV_MS2024.mat,world,,NHS2-X9CV,music
6,data/musicCorp/NHS2/NHS2-C2VY.mp3,NHS2-C2VY,Bukharic,1,1,352800,44.1,8,0.1444671201814059,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-C2VY_MS2024.mat,world,,NHS2-C2VY,music
7,data/musicCorp/NHS2/NHS2-MQZS.mp3,NHS2-MQZS,Hopi,1,1,352800,44.1,8,0.1415419501133787,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-MQZS_MS2024.mat,world,,NHS2-MQZS,music
8,data/musicCorp/NHS2/NHS2-L24F.mp3,NHS2-L24F,Scottish Gaelic,1,1,352800,44.1,8,0.2573469387755102,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-L24F_MS2024.mat,world,,NHS2-L24F,music
9,data/musicCorp/NHS2/NHS2-KFAU.mp3,NHS2-KFAU,Temiar,1,1,352800,44.1,8,0.143922902494331,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-KFAU_MS2024.mat,world,,NHS2-KFAU,music
10,data/musicCorp/NHS2/NHS2-A55H.mp3,NHS2-A55H,Dhuwal,1,1,352800,44.1,8,0.1531746031746031,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-A55H_MS2024.mat,world,,NHS2-A55H,music
11,data/musicCorp/NHS2/NHS2-8FCW.mp3,NHS2-8FCW,Tsonga,1,1,352800,44.1,8,0.1335374149659864,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-8FCW_MS2024.mat,world,,NHS2-8FCW,music
12,data/musicCorp/NHS2/NHS2-S7PH.mp3,NHS2-S7PH,Saramaccan,1,1,352800,44.1,8,0.1377777777777777,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-S7PH_MS2024.mat,world,,NHS2-S7PH,music
13,data/musicCorp/NHS2/NHS2-MZ0X.mp3,NHS2-MZ0X,Woleaian,1,1,352800,44.1,8,0.7302267573696145,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-MZ0X_MS2024.mat,world,,NHS2-MZ0X,music
14,data/musicCorp/NHS2/NHS2-6ZL9.mp3,NHS2-6ZL9,Basque,1,1,352800,44.1,8,0.1415646258503401,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-6ZL9_MS2024.mat,world,,NHS2-6ZL9,music
15,data/musicCorp/NHS2/NHS2-KEYP.mp3,NHS2-KEYP,Georgian,1,1,352800,44.1,8,0.1215646258503401,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-KEYP_MS2024.mat,world,,NHS2-KEYP,music
16,data/musicCorp/NHS2/NHS2-404H.mp3,NHS2-404H,North Alaskan Inupiatun,1,1,352800,44.1,8,0.1458276643990929,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-404H_MS2024.mat,world,,NHS2-404H,music
17,data/musicCorp/NHS2/NHS2-IPO1.mp3,NHS2-IPO1,Kiowa Apache,1,1,352800,44.1,8,0.1198185941043084,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-IPO1_MS2024.mat,world,,NHS2-IPO1,music
18,data/musicCorp/NHS2/NHS2-0DSZ.mp3,NHS2-0DSZ,Central Kurdish,1,1,352800,44.1,8,0.1969841269841269,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-0DSZ_MS2024.mat,world,,NHS2-0DSZ,music
19,data/musicCorp/NHS2/NHS2-EXGU.mp3,NHS2-EXGU,Spanish,1,1,352800,44.1,8,0.3756916099773242,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-EXGU_MS2024.mat,world,,NHS2-EXGU,music
20,data/musicCorp/NHS2/NHS2-DKIW.mp3,NHS2-DKIW,Saraiki,1,1,352800,44.1,8,0.1465079365079365,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-DKIW_MS2024.mat,world,,NHS2-DKIW,music
21,data/musicCorp/NHS2/NHS2-AZDQ.mp3,NHS2-AZDQ,Spanish,1,1,352800,44.1,8,0.1425623582766439,8,NHS2,STM_output/MATs/music_mat_wl4_NHS2/NHS2-AZDQ_MS2024.mat,world,,NHS2-AZDQ,music
