,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre
0,data/musicCorp/Albouy2020Science/English/English_S10_M07.wav,English_S10_M07,English,1,1,192000,48,4,0.19572916666666668,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M07_MS2024.mat,Albouy2020Science,female,classical
1,data/musicCorp/Albouy2020Science/English/English_S01_M08.wav,English_S01_M08,English,1,1,192000,48,4,0.051958333333333336,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S01_M08_MS2024.mat,Albouy2020Science,female,classical
2,data/musicCorp/Albouy2020Science/French/French_S03_M07.wav,French_S03_M07,French,1,1,192000,48,4,0.33029166666666665,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S03_M07_MS2024.mat,Albouy2020Science,female,classical
3,data/musicCorp/Albouy2020Science/French/French_S07_M08.wav,French_S07_M08,French,1,1,192000,48,4,0.40275,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S07_M08_MS2024.mat,Albouy2020Science,female,classical
4,data/musicCorp/Albouy2020Science/French/French_S02_M02.wav,French_S02_M02,French,1,1,192000,48,4,0.39797916666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S02_M02_MS2024.mat,Albouy2020Science,female,classical
5,data/musicCorp/Albouy2020Science/French/French_S07_M05.wav,French_S07_M05,French,1,1,192000,48,4,0.3780208333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S07_M05_MS2024.mat,Albouy2020Science,female,classical
6,data/musicCorp/Albouy2020Science/English/English_S01_M05.wav,English_S01_M05,English,1,1,192000,48,4,0.1525625,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S01_M05_MS2024.mat,Albouy2020Science,female,classical
7,data/musicCorp/Albouy2020Science/English/English_S09_M05.wav,English_S09_M05,English,1,1,192000,48,4,0.23402083333333334,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S09_M05_MS2024.mat,Albouy2020Science,female,classical
8,data/musicCorp/Albouy2020Science/French/French_S10_M02.wav,French_S10_M02,French,1,1,192000,48,4,0.27952083333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S10_M02_MS2024.mat,Albouy2020Science,female,classical
9,data/musicCorp/Albouy2020Science/English/English_S08_M05.wav,English_S08_M05,English,1,1,192000,48,4,0.36995833333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S08_M05_MS2024.mat,Albouy2020Science,female,classical
10,data/musicCorp/Albouy2020Science/English/English_S02_M02.wav,English_S02_M02,English,1,1,192000,48,4,0.379125,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S02_M02_MS2024.mat,Albouy2020Science,female,classical
11,data/musicCorp/Albouy2020Science/English/English_S07_M08.wav,English_S07_M08,English,1,1,192000,48,4,0.14241666666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M08_MS2024.mat,Albouy2020Science,female,classical
12,data/musicCorp/Albouy2020Science/French/French_S06_M05.wav,French_S06_M05,French,1,1,192000,48,4,0.27297916666666666,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S06_M05_MS2024.mat,Albouy2020Science,female,classical
13,data/musicCorp/Albouy2020Science/French/French_S10_M07.wav,French_S10_M07,French,1,1,192000,48,4,0.3408541666666667,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S10_M07_MS2024.mat,Albouy2020Science,female,classical
14,data/musicCorp/Albouy2020Science/French/French_S01_M08.wav,French_S01_M08,French,1,1,192000,48,4,0.307,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M08_MS2024.mat,Albouy2020Science,female,classical
15,data/musicCorp/Albouy2020Science/French/French_S03_M02.wav,French_S03_M02,French,1,1,192000,48,4,0.32747916666666665,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S03_M02_MS2024.mat,Albouy2020Science,female,classical
16,data/musicCorp/Albouy2020Science/English/English_S08_M08.wav,English_S08_M08,English,1,1,192000,48,4,0.31095833333333334,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S08_M08_MS2024.mat,Albouy2020Science,female,classical
17,data/musicCorp/Albouy2020Science/English/English_S05_M02.wav,English_S05_M02,English,1,1,192000,48,4,0.2984375,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S05_M02_MS2024.mat,Albouy2020Science,female,classical
18,data/musicCorp/Albouy2020Science/English/English_S10_M02.wav,English_S10_M02,English,1,1,192000,48,4,0.21070833333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M02_MS2024.mat,Albouy2020Science,female,classical
19,data/musicCorp/Albouy2020Science/French/French_S01_M05.wav,French_S01_M05,French,1,1,192000,48,4,0.49352083333333335,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M05_MS2024.mat,Albouy2020Science,female,classical
20,data/musicCorp/Albouy2020Science/French/French_S06_M08.wav,French_S06_M08,French,1,1,192000,48,4,0.19197916666666667,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S06_M08_MS2024.mat,Albouy2020Science,female,classical
21,data/musicCorp/Albouy2020Science/French/French_S02_M07.wav,French_S02_M07,French,1,1,192000,48,4,0.38447916666666665,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S02_M07_MS2024.mat,Albouy2020Science,female,classical
22,data/musicCorp/Albouy2020Science/English/English_S07_M05.wav,English_S07_M05,English,1,1,192000,48,4,0.21970833333333334,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M05_MS2024.mat,Albouy2020Science,female,classical
23,data/musicCorp/Albouy2020Science/English/English_S07_M02.wav,English_S07_M02,English,1,1,192000,48,4,0.144875,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S07_M02_MS2024.mat,Albouy2020Science,female,classical
24,data/musicCorp/Albouy2020Science/French/French_S01_M02.wav,French_S01_M02,French,1,1,192000,48,4,0.42875,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S01_M02_MS2024.mat,Albouy2020Science,female,classical
25,data/musicCorp/Albouy2020Science/English/English_S10_M05.wav,English_S10_M05,English,1,1,192000,48,4,0.29122916666666665,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M05_MS2024.mat,Albouy2020Science,female,classical
26,data/musicCorp/Albouy2020Science/French/French_S04_M08.wav,French_S04_M08,French,1,1,192000,48,4,0.5664375,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S04_M08_MS2024.mat,Albouy2020Science,female,classical
27,data/musicCorp/Albouy2020Science/English/English_S06_M07.wav,English_S06_M07,English,1,1,192000,48,4,0.27366666666666667,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S06_M07_MS2024.mat,Albouy2020Science,female,classical
28,data/musicCorp/Albouy2020Science/English/English_S02_M08.wav,English_S02_M08,English,1,1,192000,48,4,0.4443125,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S02_M08_MS2024.mat,Albouy2020Science,female,classical
29,data/musicCorp/Albouy2020Science/English/English_S09_M07.wav,English_S09_M07,English,1,1,192000,48,4,0.12722916666666667,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S09_M07_MS2024.mat,Albouy2020Science,female,classical
30,data/musicCorp/Albouy2020Science/French/French_S06_M02.wav,French_S06_M02,French,1,1,192000,48,4,0.17295833333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S06_M02_MS2024.mat,Albouy2020Science,female,classical
31,data/musicCorp/Albouy2020Science/French/French_S03_M08.wav,French_S03_M08,French,1,1,192000,48,4,0.3585833333333333,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S03_M08_MS2024.mat,Albouy2020Science,female,classical
32,data/musicCorp/Albouy2020Science/French/French_S07_M07.wav,French_S07_M07,French,1,1,192000,48,4,0.22877083333333334,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/French_S07_M07_MS2024.mat,Albouy2020Science,female,classical
33,data/musicCorp/Albouy2020Science/English/English_S02_M05.wav,English_S02_M05,English,1,1,192000,48,4,0.2379375,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S02_M05_MS2024.mat,Albouy2020Science,female,classical
34,data/musicCorp/Albouy2020Science/English/English_S05_M08.wav,English_S05_M08,English,1,1,192000,48,4,0.19652083333333334,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S05_M08_MS2024.mat,Albouy2020Science,female,classical
35,data/musicCorp/Albouy2020Science/English/English_S10_M08.wav,English_S10_M08,English,1,1,192000,48,4,0.23504166666666668,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S10_M08_MS2024.mat,Albouy2020Science,female,classical
36,data/musicCorp/Albouy2020Science/English/English_S08_M02.wav,English_S08_M02,English,1,1,192000,48,4,0.3610625,4,Albouy2020Science,STM_output/MATs/music_mat_wl4_Albouy2020Science/English_S08_M02_MS2024.mat,Albouy2020Science,female,classical
