,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/BibleTTS/yoruba/train/2CH/2CH_025_Verse_000.flac,2CH_025_Verse_000.,Yoruba,1,1,384000,48,8,0.4467083333333333,4,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/2CH_025_Verse_000._MS2024.mat,BibleTTS_2CH,
1,data/speechCorp/BibleTTS/yoruba/train/LAM/LAM_004_Verse_008.flac,LAM_004_Verse_008.,Yoruba,1,1,576000,48,12,0.655,8,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/LAM_004_Verse_008._MS2024.mat,BibleTTS_LAM,
2,data/speechCorp/BibleTTS/yoruba/train/HEB/HEB_001_Verse_004.flac,HEB_001_Verse_004.,Yoruba,1,1,576000,48,12,0.9820833333333333,12,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/HEB_001_Verse_004._MS2024.mat,BibleTTS_HEB,
3,data/speechCorp/BibleTTS/yoruba/train/JHN/JHN_001_Verse_002.flac,JHN_001_Verse_002.,Yoruba,1,1,384000,48,8,0.561625,4,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/JHN_001_Verse_002._MS2024.mat,BibleTTS_JHN,
4,data/speechCorp/BibleTTS/yoruba/train/SNG/SNG_006_Verse_007.flac,SNG_006_Verse_007.,Yoruba,1,1,384000,48,8,0.74525,8,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/SNG_006_Verse_007._MS2024.mat,BibleTTS_SNG,
5,data/speechCorp/BibleTTS/yoruba/train/EXO/EXO_009_Verse_005.flac,EXO_009_Verse_005.,Yoruba,1,1,384000,48,8,0.849375,8,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/EXO_009_Verse_005._MS2024.mat,BibleTTS_EXO,
6,data/speechCorp/BibleTTS/yoruba/train/NUM/NUM_010_Verse_011.flac,NUM_010_Verse_011.,Yoruba,1,1,576000,48,12,0.6617291666666667,8,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/NUM_010_Verse_011._MS2024.mat,BibleTTS_NUM,
7,data/speechCorp/BibleTTS/yoruba/train/MAT/MAT_005_Verse_019.flac,MAT_005_Verse_019.,Yoruba,1,1,960000,48,20,0.8919583333333333,16,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/MAT_005_Verse_019._MS2024.mat,BibleTTS_MAT,
8,data/speechCorp/BibleTTS/yoruba/train/ACT/ACT_019_Verse_000.flac,ACT_019_Verse_000.,Yoruba,1,1,576000,48,12,0.9285208333333334,8,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/ACT_019_Verse_000._MS2024.mat,BibleTTS_ACT,
9,data/speechCorp/BibleTTS/yoruba/train/PHP/PHP_002_Verse_011.flac,PHP_002_Verse_011.,Yoruba,1,1,384000,48,8,0.8972916666666667,4,BibleTTS/yoruba,STM_output/MATs/speech_mat_wl4_BibleTTS/yoruba/PHP_002_Verse_011._MS2024.mat,BibleTTS_PHP,
